hotelCode,futurePrice
H00003124414,17200.0
H00003124416,7000.0
H00003124420,24000.0
H00003124421,15063.0
H00003124426,3700.0
H00003124427,7061.0
H00003124429,8800.0
H00003124433,11500.0
H00003124435,20404.0
H00003124436,28447.0
H00003124438,17300.0
H00003124443,11200.0
H00003124446,19500.0
H00003124448,9000.0
H00003124451,33000.0
H00003124452,24495.0
H00003124453,15854.0
H00003124454,16600.0
H00003124457,4800.0
H00003124458,15100.0
H00003124462,4810.0
H00003124464,29300.0
H00003124467,12700.0
H00003124469,168412.0
H00003124470,27300.0
H00003124474,12600.0
H00003124476,15500.0
H00003124479,22018.0
H00003124480,3740.0
H00003124482,10200.0
H00003124483,8500.0
H00003124484,22852.0
H00003124485,23600.0
H00003124489,4400.0
H00003124490,9800.0
H00003124491,11700.0
H00003124492,9700.0
H00003124494,9700.0
H00003124499,8700.0
H00003124500,9300.0
H00003124511,6600.0
H00003124513,14100.0
H00003124545,23132.0
H00003124553,7000.0
H00003124560,5300.0
H00003124563,23000.0
H00003124564,13900.0
H00003124574,16300.0
H00003124590,15900.0
H00003124594,5900.0
H00003124595,6000.0
H00003124602,9066.0
H00003124608,6200.0
H00003124611,13200.0
H00003124623,23100.0
H00003124625,6700.0
H00003124637,18100.0
H00003124649,11600.0
H00003124656,10700.0
H00003124660,10275.0
H00003124662,6100.0
H00003124665,14000.0
H00003124674,8700.0
H00003124696,5500.0
H00003124705,4723.0
H00003124708,21200.0
H00003124725,15800.0
H00003124730,11800.0
H00003124738,4300.0
H00003124741,5500.0
H00003124762,7900.0
H00003124777,9600.0
H00003124789,5700.0
H00003124790,7700.0
H00003124796,49000.0
H00003124802,10100.0
H00003124805,20600.0
H00003124814,13300.0
H00003124818,31100.0
H00003124855,5700.0
H00003124858,9400.0
H00003124878,29000.0
H00003124887,11300.0
H00003124916,1787.0
H00003124917,40200.0
H00003124936,13300.0
H00003124944,6800.0
H00003124947,16400.0
H00003124949,22244.0
H00003124964,11600.0
H00003124983,14900.0
H00003124991,12200.0
H00003124992,23800.0
H00003128936,13100.0
H00003128938,15200.0
H00003128940,15100.0
H00003128950,15500.0
H00003128952,11200.0
H00003128953,17400.0
H00003128955,20800.0
H00003128957,13300.0
H00003128958,9300.0
H00003128959,14300.0
H00003128961,22546.0
H00003128965,16200.0
H00003128967,11800.0
H00003128968,9978.0
H00003128974,13700.0
H00003128978,10800.0
H00003128979,16500.0
H00003128981,15600.0
H00003128982,47900.0
H00003128983,28500.0
H00003128987,12200.0
H00003128990,25900.0
H00003128991,11400.0
H00003128993,24400.0
H00003128994,7800.0
H00003128995,8100.0
H00003128996,24000.0
H00003128997,10400.0
H00003128998,19500.0
H00003129001,11300.0
H00003129005,3500.0
H00003129006,8500.0
H00003129010,22000.0
H00003129015,10200.0
H00003129023,17900.0
H00003129025,12700.0
H00003129026,2200.0
H00003129029,18100.0
H00003129073,18148.0
H00003129081,11900.0
H00003129086,13700.0
H00003129087,30800.0
H00003129091,14500.0
H00003129093,16700.0
H00003129094,36000.0
H00003129098,4800.0
H00003129104,17600.0
H00003129115,10100.0
H00003129117,4900.0
H00003129120,6000.0
H00003129121,8500.0
H00003129124,7700.0
H00003129133,56265.0
H00003129151,23600.0
H00003129157,9000.0
H00003129180,7000.0
