origin,dest,route,n_obs,total_pax,mean_fare,std_fare,fare_cv,n_carriers,avg_distance,avg_coupons,dist_band,carriers_list
SEA,JAX,SEA-JAX,946,1065.0,387.72,238.43,0.6149,12,2590.0,2.03,long,"9E,AA,AS,B6,DL,MQ,OO,SY,UA,WN,YV,YX"
JAX,SEA,JAX-SEA,963,1078.0,391.36,224.45,0.5735,14,2595.0,2.03,long,"9E,AA,AS,B6,DL,F9,MQ,OH,OO,SY,UA,WN,YV,YX"
SEA,MCO,SEA-MCO,2988,6814.0,366.82,226.25,0.6168,13,2616.0,1.37,long,"AA,AS,B6,DL,F9,MQ,NK,OO,QX,SY,UA,WN,YX"
MCO,SEA,MCO-SEA,3024,6950.0,375.63,235.42,0.6268,14,2614.0,1.34,long,"AA,AS,B6,C5,DL,F9,MQ,NK,OO,QX,SY,UA,WN,YX"
SEA,ORF,SEA-ORF,762,884.0,411.26,242.55,0.5898,13,2601.0,2.04,long,"9E,AA,AS,C5,DL,F9,MQ,OH,OO,UA,WN,YV,YX"
ORF,SEA,ORF-SEA,780,938.0,412.2,233.74,0.5671,15,2593.0,2.03,long,"9E,AA,AS,C5,DL,F9,G7,MQ,OH,OO,PT,UA,WN,YV,YX"
SEA,ITH,SEA-ITH,39,39.0,430.96,194.06,0.4503,6,2680.0,2.31,long,"9E,AS,DL,G7,UA,YX"
ITH,SEA,ITH-SEA,54,56.0,395.48,213.26,0.5392,5,2627.0,2.06,long,"9E,DL,G7,UA,YX"
SEA,JFK,SEA-JFK,3694,9959.0,405.06,299.93,0.7404,11,2436.0,1.14,long,"9E,AA,AS,B6,DL,MQ,OO,QX,SY,UA,YX"
JFK,SEA,JFK-SEA,3741,10129.0,406.32,299.63,0.7374,10,2436.0,1.13,long,"9E,AA,AS,B6,DL,MQ,OO,QX,SY,YX"
SEA,ATL,SEA-ATL,2896,8390.0,381.75,250.1,0.6552,14,2249.0,1.31,long,"9E,AA,AS,B6,C5,DL,F9,MQ,NK,OO,QX,SY,UA,WN"
